,words,fdc_id,weight
220,seed,167557,0.5
221,tortilla,167558,0.5
222,plain,167558,0.5
223,white,167558,0.5
224,corn,167558,0.5
225,salted,167558,0.5
226,tortilla,167559,0.5
227,nacho,167559,0.5
228,cheese,167559,0.5
229,tortilla,167560,0.5
230,ranch,167560,0.5
231,trail,167561,0.5
232,mix,167561,0.5
233,almond,167562,0.5
234,joy,167562,0.5
235,candy,167562,0.5
236,bar,167562,0.5
237,twizzlers,167563,0.5
238,cherry,167563,0.5
239,bites,167563,0.5
240,nestle,167564,0.5
241,bit,167564,0.5
242,honey,167564,0.5
243,candy,167564,0.5
244,chews,167564,0.5
245,nestle,167565,0.5
246,butterfinger,167565,0.5
247,bar,167565,0.5
248,caramels,167566,0.5
249,chocolate,167566,0.5
250,roll,167566,0.5
251,baking,167567,0.5
252,chocolate,167567,0.5
253,liquid,167567,0.5
254,baking,167568,0.5
255,chocolate,167568,0.5
256,squares,167568,0.5
257,confectioner,167569,0.5
258,coating,167569,0.5
259,yogurt,167569,0.5
260,confectioner,167570,0.5
261,coating,167570,0.5
262,peanut,167570,0.5
263,butter,167570,0.5
264,white,167571,0.5
265,chocolate,167571,0.5
266,ice,167572,0.5
267,creams,167572,0.5
268,vanilla,167572,0.5
269,light,167572,0.5
270,ice,167573,0.5
271,creams,167573,0.5
272,vanilla,167573,0.5
273,rich,167573,0.5
274,desserts,167574,0.5
275,flan,167574,0.5
276,caramel,167574,0.5
277,custard,167574,0.5
278,ice,167575,0.5
279,creams,167575,0.5
280,vanilla,167575,0.5
281,ice,167576,0.5
282,creams,167576,0.5
283,vanilla,167576,0.5
284,light,167576,0.5
285,soft,167576,0.5
286,serve,167576,0.5
287,sherbet,167577,0.5
288,orange,167577,0.5
289,fudge,167578,0.5
290,peanut,167578,0.5
291,butter,167578,0.5
292,fudge,167579,0.5
293,vanilla,167579,0.5
294,fudge,167580,0.5
295,vanilla,167580,0.5
296,nuts,167580,0.5
297,nestle,167581,0.5
298,goobers,167581,0.5
299,chocolate,167581,0.5
300,covered,167581,0.5
301,peanuts,167581,0.5
302,nestle,167582,0.5
303,baby,167582,0.5
304,ruth,167582,0.5
305,bar,167582,0.5
306,twizzlers,167583,0.5
307,strawberry,167583,0.5
308,twists,167583,0.5
309,candy,167583,0.5
310,syrups,167584,0.5
311,blends,167584,0.5
312,pancake,167584,0.5
313,butter,167584,0.5
314,ice,167585,0.5
315,creams,167585,0.5
316,chocolate,167585,0.5
317,light,167585,0.5
318,nestle,167586,0.5
319,chunky,167586,0.5
320,bar,167586,0.5
321,milk,167587,0.5
322,chocolate,167587,0.5
323,banana,167588,0.5
324,dry,167588,0.5
325,mix,167588,0.5
326,milk,167588,0.5
327,banana,167589,0.5
328,dry,167589,0.5
329,mix,167589,0.5
330,milk,167589,0.5
331,andrea,167590,0.5
332,gluten,167590,0.5
333,free,167590,0.5
334,soft,167590,0.5
335,roll,167590,0.5
336,crunchmaster,167591,0.5
337,multi,167591,0.5
338,grain,167591,0.5
339,crisps,167591,0.5
340,snack,167591,0.5
341,crackers,167591,0.5
342,gluten,167591,0.5
343,free,167591,0.5
344,glutino,167592,0.5
345,gluten,167592,0.5
346,free,167592,0.5
347,cookies,167592,0.5
348,chocolate,167592,0.5
349,vanilla,167592,0.5
350,creme,167592,0.5
351,glutino,167593,0.5
352,gluten,167593,0.5
353,free,167593,0.5
354,cookies,167593,0.5
355,vanilla,167593,0.5
356,creme,167593,0.5
357,pepperidge,167594,0.5
358,farm,167594,0.5
359,goldfish,167594,0.5
360,baked,167594,0.5
361,snack,167594,0.5
362,crackers,167594,0.5
363,pepperidge,167595,0.5
364,farm,167595,0.5
365,goldfish,167595,0.5
366,baked,167595,0.5
367,snack,167595,0.5
368,crackers,167595,0.5
369,parmesan,167595,0.5
370,pepperidge,167596,0.5
371,farm,167596,0.5
372,goldfish,167596,0.5
373,baked,167596,0.5
374,snack,167596,0.5
375,crackers,167596,0.5
376,pizza,167596,0.5
377,rudi,167597,0.5
378,gluten,167597,0.5
379,free,167597,0.5
380,bakery,167597,0.5
381,sandwich,167597,0.5
382,bread,167597,0.5
383,udi,167598,0.5
384,gluten,167598,0.5
385,free,167598,0.5
386,soft,167598,0.5
387,delicious,167598,0.5
388,white,167598,0.5
389,sandwich,167598,0.5
390,bread,167598,0.5
391,udi,167599,0.5
392,gluten,167599,0.5
393,free,167599,0.5
394,soft,167599,0.5
395,hearty,167599,0.5
396,grain,167599,0.5
397,bread,167599,0.5
